ID,Gender,Taxon ,Home range   ,Mass   ,Diet ,Environment 
1,Abrothrix,Abrothrix_olivaceus ,-3.33,-1.61,Omnivore,Terrestrial
2,Acinonyx,Acinonyx_jubatus ,2.91,1.7,Carnivore,Terrestrial
3,Aepyceros,Aepyceros_melampus ,0.51,1.8,Herbivore,Terrestrial
4,Ailuropoda,Ailuropoda_melanoleuca ,0.62,1.94,Herbivore,Terrestrial
5,Ailurus,Ailurus_fulgens ,0.01,0.73,Herbivore,Terrestrial
6,Alcelaphus,Alcelaphus_buselaphus ,0.34,2.13,Herbivore,Terrestrial
7,Alces,Alces_alces ,1.97,2.49,Herbivore,Terrestrial
8,Alouatta,Alouatta_seniculus ,-0.8,0.81,Omnivore,Terrestrial
9,Amblysomus,Amblysomus_hottentotus ,-3.33,-1.2,Omnivore,Terrestrial
10,Ammospermophilus,Ammospermophilus_leucurus ,-1.3,-0.98,Omnivore,Terrestrial
11,Ammospermophilus,Ammospermophilus_nelsoni ,-1.4,-0.79,Omnivore,Terrestrial
12,Ammotragus,Ammotragus_lervia ,0.96,2.22,Herbivore,Terrestrial
13,Antechinus,Antechinus_stuartii ,-1.46,-1.56,Carnivore,Terrestrial
14,Antilocapra,Antilocapra_americana ,1.01,1.66,Herbivore,Terrestrial
15,Aonyx,Aonyx_capensis ,2.08,1.29,Omnivore,Terrestrial
16,Aotus,Aotus_trivirgatus ,-1.3,-0.04,Omnivore,Terrestrial
17,Aplodontia,Aplodontia_rufa ,-2.98,0.05,Herbivore,Terrestrial
18,Apodemus,Apodemus_flavicollis ,-2.12,-1.5,Herbivore,Terrestrial
19,Apodemus,Apodemus_sylvaticus ,-1.88,-1.67,Herbivore,Terrestrial
20,Apomys,Apomys_musculus ,-2.63,-1.67,Omnivore,Terrestrial
21,Arctocephalus,Arctocephalus_gazella ,3.75,1.53,Carnivore,Marine
22,Arctocephalus,Arctocephalus_tropicalis ,5.34,1.52,Carnivore,Marine
23,Atherurus,Atherurus_africanus ,-0.82,0.44,Herbivore,Terrestrial
24,Atilax,Atilax_paludinosus ,0.35,0.56,Carnivore,Terrestrial
25,Axis,Axis_axis ,0.56,1.8,Herbivore,Terrestrial
26,Balaena,Balaena_mysticetus ,4.39,4.49,Carnivore,Marine
27,Bassariscus,Bassariscus_astutus ,-0.08,0.01,Omnivore,Terrestrial
28,Bathyergus,Bathyergus_suillus ,-2.57,-0.2,Herbivore,Terrestrial
29,Bettongia,Bettongia_gaimardi ,-0.34,0.22,Herbivore,Terrestrial
30,Bison,Bison_bison ,2.42,2.8,Herbivore,Terrestrial
31,Bison,Bison_bonasus ,1.01,2.8,Herbivore,Terrestrial
32,Brachylagus,Brachylagus_idahoensis ,-2.31,-0.47,Herbivore,Terrestrial
33,Brachyteles,Brachyteles_arachnoides ,0.33,1.02,Omnivore,Terrestrial
34,Bradypus,Bradypus_torquatus ,-1.35,0.59,Herbivore,Terrestrial
35,Bunopithecus,Bunopithecus_hoolock ,-0.64,0.83,Omnivore,Terrestrial
36,Callicebus,Callicebus_moloch ,-1.52,-0.02,Omnivore,Terrestrial
37,Callimico,Callimico_goeldii ,-0.35,-0.25,Omnivore,Terrestrial
38,Callithrix,Callithrix_humeralifera ,-0.89,-0.43,Omnivore,Terrestrial
39,Callithrix,Callithrix_pygmaea ,-2.51,-0.91,Omnivore,Terrestrial
40,Callosciurus,Callosciurus_erythraeus ,-1.85,-0.44,Omnivore,Terrestrial
41,Caluromys,Caluromys_philander ,-1.5,-0.58,Omnivore,Terrestrial
42,Canis,Canis_adustus ,0.04,0.98,Omnivore,Terrestrial
43,Canis,Canis_aureus ,0.17,0.96,Omnivore,Terrestrial
44,Canis,Canis_familiaris ,1.46,1.15,Omnivore,Terrestrial
45,Canis,Canis_latrans ,1.46,1.2,Omnivore,Terrestrial
46,Canis,Canis_lupus ,2.67,1.63,Carnivore,Terrestrial
47,Canis,Canis_mesomelas ,1.2,1,Omnivore,Terrestrial
48,Canis,Canis_simensis ,0.73,1.44,Carnivore,Terrestrial
49,Capra,Capra_hircus ,1.81,1.71,Herbivore,Terrestrial
50,Capra,Capra_pyrenaica ,-0.15,1.84,Herbivore,Terrestrial
51,Capreolus,Capreolus_capreolus ,-0.17,1.38,Herbivore,Terrestrial
52,Caracal,Caracal_caracal ,2.58,1.11,Carnivore,Terrestrial
53,Castor,Castor_canadensis ,-1.11,1.31,Herbivore,Terrestrial
54,Catagonus,Catagonus_wagneri ,1.04,1.54,Herbivore,Terrestrial
55,Cebus,Cebus_capucinus ,-0.2,0.48,Omnivore,Terrestrial
56,Cephalophus,Cephalophus_callipygus ,-0.38,1.26,Herbivore,Terrestrial
57,Cephalophus,Cephalophus_dorsalis ,-0.45,1.31,Herbivore,Terrestrial
58,Cephalorhynchus,Cephalorhynchus_heavisidii ,2.78,1.88,Carnivore,Marine
59,Ceratotherium,Ceratotherium_simum ,1.2,3.35,Herbivore,Terrestrial
60,Cercartetus,Cercartetus_nanus ,-2.15,-1.62,Omnivore,Terrestrial
61,Cercopithecus,Cercopithecus_cephus ,-0.46,0.54,Omnivore,Terrestrial
62,Cercopithecus,Cercopithecus_diana ,0.28,0.64,Omnivore,Terrestrial
63,Cercopithecus,Cercopithecus_mitis ,-0.8,0.7,Omnivore,Terrestrial
64,Cercopithecus,Cercopithecus_nictitans ,0.24,0.72,Omnivore,Terrestrial
65,Cerdocyon,Cerdocyon_thous ,0.48,0.76,Omnivore,Terrestrial
66,Cervus,Cervus_elaphus ,1.87,2.37,Herbivore,Terrestrial
67,Cervus,Cervus_nippon ,-0.07,1.47,Herbivore,Terrestrial
68,Cheirogaleus,Cheirogaleus_major ,-1.4,-0.35,Omnivore,Terrestrial
69,Chrysocyon,Chrysocyon_brachyurus ,1.43,1.38,Omnivore,Terrestrial
70,Chrysospalax,Chrysospalax_trevelyani ,-3.21,-0.36,Carnivore,Terrestrial
71,Clethrionomys,Clethrionomys_californicus,-1.8,-1.65,Herbivore,Terrestrial
72,Coendou,Coendou_prehensilis ,-0.73,0.63,Herbivore,Terrestrial
73,Condylura,Condylura_cristata ,-2.44,-1.32,Carnivore,Terrestrial
74,Conepatus,Conepatus_humboldtii ,-0.79,0.12,Omnivore,Terrestrial
75,Conepatus,Conepatus_semistriatus ,-0.45,0.38,Omnivore,Terrestrial
76,Crocidura,Crocidura_russula ,-3.63,-2,Carnivore,Terrestrial
77,Crocuta,Crocuta_crocuta ,2.24,1.81,Carnivore,Terrestrial
78,Cryptomys,Cryptomys_damarensis ,-1.89,-0.83,Herbivore,Terrestrial
79,Cryptomys,Cryptomys_hottentotus ,-2.8,-1.19,Herbivore,Terrestrial
80,Cryptoprocta,Cryptoprocta_ferox ,-0.05,0.98,Carnivore,Terrestrial
81,Cryptotis,Cryptotis_parva ,-2.76,-2.3,Omnivore,Terrestrial
82,Cuon,Cuon_alpinus ,1.84,1.2,Carnivore,Terrestrial
83,Cyclopes,Cyclopes_didactylus ,-1.4,-0.58,Carnivore,Terrestrial
84,Cynictis,Cynictis_penicillata ,-0.23,-0.21,Carnivore,Terrestrial
85,Cystophora,Cystophora_cristata ,4.72,2.56,Carnivore,Marine
86,Dactylopsila,Dactylopsila_trivirgata ,-1.1,-0.38,Omnivore,Terrestrial
87,Dama,Dama_dama ,-0.01,1.85,Herbivore,Terrestrial
88,Dasypus,Dasypus_novemcinctus ,-1.52,0.6,Omnivore,Terrestrial
89,Dasyurus,Dasyurus_geoffroii ,0.36,0.04,Carnivore,Terrestrial
90,Dasyurus,Dasyurus_maculatus ,0.16,0.52,Omnivore,Terrestrial
91,Dasyurus,Dasyurus_viverrinus ,-0.44,0.04,Omnivore,Terrestrial
